,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section,group
0,2022-04-02,1,13:00,秋葉の森,大宮アルディージャU18,川崎フロンターレU-18,試合終了,101,0,1,False,1,
1,2022-04-03,1,11:00,船橋法典,市立船橋高校,青森山田高校,試合終了,102,0,2,False,2,
2,未定,1,未定,未定,流通経済大学付属柏高校,桐生第一高校,,103,,,False,3,
3,2022-04-03,1,14:00,武蔵野苑,FC東京U-18,JFAアカデミー福島U-18,試合終了,104,4,1,False,4,
4,2022-04-03,1,14:00,日産フ,横浜F・マリノスユース,横浜FCユース,試合終了,105,3,1,False,5,
5,2022-06-08,1,16:00,日立柏グ,柏レイソルU-18,前橋育英高校,試合終了,106,2,2,False,6,
6,2022-04-09,2,13:00,太田陸,桐生第一高校,横浜F・マリノスユース,試合終了,201,0,7,False,1,
7,2022-04-09,2,14:00,時之栖Ａ,JFAアカデミー福島U-18,大宮アルディージャU18,試合終了,202,1,2,False,2,
8,2022-04-10,2,11:00,青森山田,青森山田高校,FC東京U-18,試合終了,203,1,0,False,3,
9,2022-04-10,2,11:00,前橋育英,前橋育英高校,市立船橋高校,試合終了,204,5,1,False,4,
10,2022-04-10,2,13:00,等々力,川崎フロンターレU-18,流通経済大学付属柏高校,試合終了,205,2,1,False,5,
11,2022-04-10,2,13:00,日産フ,横浜FCユース,柏レイソルU-18,試合終了,206,3,1,False,6,
12,2022-04-16,3,14:00,日産フ,横浜F・マリノスユース,流通経済大学付属柏高校,試合終了,301,2,3,False,1,
13,2022-04-16,3,14:00,時之栖Ａ,JFAアカデミー福島U-18,川崎フロンターレU-18,試合終了,302,1,1,False,2,
14,2022-07-14,3,16:30,日立柏グ,柏レイソルU-18,桐生第一高校,,303,,,False,3,
15,2022-04-17,3,11:00,埼玉Ｓ３,大宮アルディージャU18,青森山田高校,試合終了,304,0,1,False,4,
16,2022-04-17,3,11:00,船橋法典,市立船橋高校,横浜FCユース,試合終了,305,2,0,False,5,
17,2022-04-17,3,14:00,武蔵野苑,FC東京U-18,前橋育英高校,試合終了,306,4,3,False,6,
18,2022-04-23,4,13:00,日産フ,横浜FCユース,FC東京U-18,試合終了,401,1,3,False,1,
19,2022-04-24,4,11:00,青森山田,青森山田高校,JFAアカデミー福島U-18,試合終了,402,0,1,False,2,
20,2022-04-24,4,11:00,太田陸,桐生第一高校,市立船橋高校,試合終了,403,0,0,False,3,
21,2022-04-24,4,11:00,前橋育英,前橋育英高校,大宮アルディージャU18,試合終了,404,2,1,False,4,
22,2022-04-24,4,11:00,流経柏Ｇ,流通経済大学付属柏高校,柏レイソルU-18,試合終了,405,1,2,False,5,
23,2022-04-24,4,13:00,川崎麻生,川崎フロンターレU-18,横浜F・マリノスユース,試合終了,406,3,1,False,6,
24,2022-04-30,5,13:00,埼玉Ｓ２,大宮アルディージャU18,横浜FCユース,試合終了,501,2,2,False,1,
25,2022-04-30,5,14:00,JFA夢フィA,JFAアカデミー福島U-18,前橋育英高校,試合終了,502,2,3,False,2,
26,2022-05-01,5,11:00,青森山田,青森山田高校,川崎フロンターレU-18,試合終了,503,1,2,False,3,
27,2022-05-01,5,11:00,船橋法典,市立船橋高校,流通経済大学付属柏高校,試合終了,504,0,0,False,4,
28,2022-05-01,5,14:00,JFA夢フィA,FC東京U-18,桐生第一高校,試合終了,505,5,3,False,5,
29,2022-05-01,5,16:00,日立柏グ,柏レイソルU-18,横浜F・マリノスユース,試合終了,506,1,2,False,6,
30,2022-05-07,6,11:00,ｱｰｽ群馬ｻ,前橋育英高校,青森山田高校,試合終了,601,3,2,False,1,
31,2022-05-07,6,14:00,ｱｰｽ群馬ｻ,桐生第一高校,大宮アルディージャU18,試合終了,602,1,3,False,2,
32,2022-05-08,6,11:00,流経柏Ｇ,流通経済大学付属柏高校,FC東京U-18,試合終了,603,1,2,False,3,
33,2022-05-08,6,11:00,保土ヶ谷,横浜FCユース,JFAアカデミー福島U-18,試合終了,604,5,0,False,4,
34,2022-05-08,6,13:00,等々力,川崎フロンターレU-18,柏レイソルU-18,試合終了,605,5,1,False,5,
35,2022-05-08,6,15:00,保土ヶ谷,横浜F・マリノスユース,市立船橋高校,試合終了,606,7,0,False,6,
