,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg
0,2011/06/05,0,1,15:00,埼玉,浦和,2,0,山形,試合終了,1回戦第1戦,,,,,1
1,2011/06/05,0,2,15:00,柏,柏,0,1,仙台,試合終了,1回戦第1戦,,,,,1
2,2011/06/05,0,3,15:00,ニッパ球,横浜FM,1,1,神戸,試合終了,1回戦第1戦,,,,,1
3,2011/06/05,0,4,15:00,ヤマハ,磐田,2,0,福岡,試合終了,1回戦第1戦,,,,,1
4,2011/06/05,0,5,15:00,広島ビ,広島,2,2,川崎Ｆ,試合終了,1回戦第1戦,,,,,1
5,2011/06/05,0,6,15:01,中銀スタ,甲府,1,0,清水,試合終了,1回戦第1戦,,,,,1
0,2011/07/27,0,1,19:00,ＮＤスタ,山形,1,2,浦和,試合終了,1回戦第2戦,,,,,2
1,2011/07/27,0,2,19:00,等々力,川崎Ｆ,3,1,広島,試合終了,1回戦第2戦,,,,,2
2,2011/07/27,0,3,19:00,アウスタ,清水,2,0,甲府,試合終了,1回戦第2戦,,,,,2
3,2011/07/27,0,4,19:00,レベスタ,福岡,0,3,磐田,試合終了,1回戦第2戦,,,,,2
4,2011/07/27,0,5,19:01,ホームズ,神戸,1,2,横浜FM,試合終了,1回戦第2戦,,,,,2
5,2011/07/27,0,6,19:02,ユアスタ,仙台,2,1,柏,試合終了,1回戦第2戦,,,,,2
0,2011/09/14,0,1,19:00,ユアスタ,仙台,0,0,磐田,試合終了,2回戦第1戦,,,,,1
1,2011/09/14,0,2,19:04,アウスタ,清水,2,1,新潟,試合終了,2回戦第1戦,,,,,1
2,2011/09/14,0,3,19:30,埼玉,浦和,2,0,大宮,試合終了,2回戦第1戦,,,,,1
3,2011/09/14,0,4,19:33,ニッパ球,横浜FM,4,0,川崎Ｆ,試合終了,2回戦第1戦,,,,,1
0,2011/09/28,0,1,19:00,ＮＡＣＫ,大宮,1,2,浦和,試合終了,2回戦第2戦,,,,,2
1,2011/09/28,0,2,19:00,等々力,川崎Ｆ,3,2,横浜FM,試合終了,2回戦第2戦,,,,,2
2,2011/09/28,0,3,19:03,東北電ス,新潟,3,1,清水,試合終了,2回戦第2戦,,,,,2
3,2011/09/28,0,4,19:03,ヤマハ,磐田,3,0,仙台,試合終了,2回戦第2戦,,,,,2
0,2011/10/05,0,1,19:00,カシマ,鹿島,3,2,横浜FM,試合終了,準々決勝,,,1,0,
1,2011/10/05,0,2,19:00,瑞穂陸,名古屋,5,3,新潟,試合終了,準々決勝,,,3,1,
2,2011/10/05,0,3,19:03,万博,Ｇ大阪,3,1,磐田,試合終了,準々決勝,,,,,
3,2011/10/05,0,4,19:04,長居,Ｃ大阪,1,2,浦和,試合終了,準々決勝,,,,,
0,2011/10/09,0,1,13:00,瑞穂陸,名古屋,1,2,鹿島,試合終了,準決勝,,,0,1,
1,2011/10/09,0,2,17:00,埼玉,浦和,2,1,Ｇ大阪,試合終了,準決勝,,,,,
0,2011/10/29,0,1,13:10,国立,浦和,0,1,鹿島,試合終了,決勝,,,0,1,
