,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg
0,1992/09/05,0,1,15:00,笠松,鹿島,4,2,横浜Ｆ,試合終了,第1節第1日,,,
1,1992/09/05,0,2,15:30,瑞穂球,名古屋,3,0,清水,試合終了,第1節第1日,,,
2,1992/09/05,0,3,18:02,大宮,浦和,2,3,市原,試合終了,第1節第1日,,,
3,1992/09/05,0,4,19:00,神戸中央,Ｇ大阪,2,0,横浜M,試合終了,第1節第1日,,,
0,1992/09/06,0,1,19:00,広島ス,広島,2,3,Ｖ川崎,試合終了,第1節第2日,,,
0,1992/09/09,0,1,18:30,広島ス,広島,2,3,浦和,試合終了,第2節第1日,,,
1,1992/09/09,0,2,19:00,国立,鹿島,4,3,Ｖ川崎,試合終了,第2節第1日,,,
2,1992/09/09,0,3,19:00,日本平,清水,2,1,横浜M,試合終了,第2節第1日,,,
3,1992/09/09,0,4,19:00,瑞穂球,名古屋,2,1,横浜Ｆ,試合終了,第2節第1日,,,
4,1992/09/09,0,5,19:00,神戸中央,Ｇ大阪,1,0,市原,試合終了,第2節第1日,,,
0,1992/09/12,0,1,15:00,長崎,横浜Ｆ,3,2,Ｇ大阪,試合終了,第3節第1日,,,
1,1992/09/12,0,2,16:00,日本平,清水,0,1,広島,試合終了,第3節第1日,,,
2,1992/09/12,0,3,18:00,平塚,横浜M,1,0,名古屋,試合終了,第3節第1日,,,
3,1992/09/12,0,4,19:00,等々力,Ｖ川崎,1,0,浦和,試合終了,第3節第1日,,,
0,1992/09/13,0,1,14:02,太田陸,市原,1,0,鹿島,試合終了,第3節第2日,,,
0,1992/09/18,0,1,19:01,平塚,市原,0,1,名古屋,試合終了,第4節第1日,,,
0,1992/09/19,0,1,14:30,愛媛陸,横浜M,3,2,広島,試合終了,第4節第2日,,,
1,1992/09/19,0,2,15:37,鴨池,横浜Ｆ,0,3,清水,試合終了,第4節第2日,,,
2,1992/09/19,0,3,18:00,大宮,浦和,3,2,鹿島,試合終了,第4節第2日,,,
3,1992/09/19,0,4,19:00,等々力,Ｖ川崎,5,2,Ｇ大阪,試合終了,第4節第2日,,,
0,1992/09/22,0,1,19:00,平塚,横浜Ｆ,1,2,浦和,試合終了,第5節第1日,,,
0,1992/09/23,0,1,14:00,国立,横浜M,4,3,鹿島,試合終了,第5節第2日,,,
1,1992/09/23,0,2,14:04,千葉,市原,1,0,Ｖ川崎,試合終了,第5節第2日,,,
2,1992/09/23,0,3,15:00,瑞穂球,名古屋,3,0,広島,試合終了,第5節第2日,,,
3,1992/09/23,0,4,16:00,草薙陸,清水,1,2,Ｇ大阪,試合終了,第5節第2日,,,
0,1992/09/26,0,1,15:00,国立,Ｖ川崎,3,0,横浜Ｆ,試合終了,第6節第1日,,,
1,1992/09/26,0,2,15:04,笠松,鹿島,1,4,清水,試合終了,第6節第1日,,,
2,1992/09/26,0,3,18:00,西京極,Ｇ大阪,0,3,名古屋,試合終了,第6節第1日,,,
3,1992/09/27,0,4,19:00,広島ス,広島,0,1,市原,試合終了,第6節第1日,,,
0,1992/09/27,0,1,14:00,川越,浦和,2,1,横浜M,試合終了,第6節第2日,,,
0,1992/10/03,0,1,15:00,西が丘,横浜Ｆ,0,0,市原,試合終了,第7節第1日,0,1,
1,1992/10/03,0,2,15:00,瑞穂球,名古屋,1,7,鹿島,試合終了,第7節第1日,,,
2,1992/10/03,0,3,15:35,国立,横浜M,2,1,Ｖ川崎,試合終了,第7節第1日,,,
3,1992/10/03,0,4,16:00,日本平,清水,4,1,浦和,試合終了,第7節第1日,,,
0,1992/10/04,0,1,18:30,岡山,Ｇ大阪,1,3,広島,試合終了,第7節第2日,,,
0,1992/10/07,0,1,18:30,広島ス,広島,5,1,横浜Ｆ,試合終了,第8節第1日,,,
1,1992/10/07,0,2,19:00,西京極,鹿島,1,2,Ｇ大阪,試合終了,第8節第1日,,,
2,1992/10/07,0,3,19:00,大宮,浦和,0,1,名古屋,試合終了,第8節第1日,,,
3,1992/10/07,0,4,19:00,国立,Ｖ川崎,1,0,清水,試合終了,第8節第1日,,,
4,1992/10/07,0,5,19:01,西が丘,市原,0,1,横浜M,試合終了,第8節第1日,,,
0,1992/10/11,0,1,14:00,平塚,横浜M,1,2,横浜Ｆ,試合終了,第9節第1日,,,
1,1992/10/11,0,2,14:00,日本平,清水,2,2,市原,試合終了,第9節第1日,1,0,
2,1992/10/11,0,3,14:00,広島ス,広島,0,3,鹿島,試合終了,第9節第1日,,,
3,1992/10/11,0,4,14:01,神戸ユ,Ｇ大阪,1,2,浦和,試合終了,第9節第1日,,,
4,1992/10/11,0,5,14:03,鈴鹿,名古屋,0,1,Ｖ川崎,試合終了,第9節第1日,,,
0,1992/10/16,0,1,19:00,草薙陸,清水,1,0,名古屋,試合終了,準決勝,,,
1,1992/10/16,0,2,19:04,国立,Ｖ川崎,1,0,鹿島,試合終了,準決勝,,,
0,1992/11/23,0,1,14:00,国立,Ｖ川崎,1,0,清水,試合終了,決勝,,,
