,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg
0,2008/03/20,0,1,14:00,瑞穂陸,名古屋,0,1,京都,試合終了,第1節,,,
1,2008/03/20,0,2,16:00,埼玉,浦和,0,1,神戸,試合終了,第1節,,,
2,2008/03/20,0,3,15:00,味スタ,東京Ｖ,0,2,磐田,試合終了,第1節,,,
3,2008/03/20,0,4,15:00,日本平,清水,3,1,Ｆ東京,試合終了,第1節,,,
4,2008/03/20,0,5,13:00,等々力,川崎Ｆ,0,2,千葉,試合終了,第1節,,,
5,2008/03/20,0,6,16:02,柏の葉,柏,1,1,札幌,試合終了,第1節,,,
6,2008/03/20,0,7,15:00,ニッパ球,横浜FM,1,0,大分,試合終了,第1節,,,
7,2008/03/20,0,8,16:00,東北電ス,新潟,2,2,大宮,試合終了,第1節,,,
0,2008/03/23,0,1,15:00,ホムスタ,神戸,0,1,名古屋,試合終了,第2節,,,
1,2008/03/23,0,2,17:00,西京極,京都,3,3,浦和,試合終了,第2節,,,
2,2008/03/23,0,3,14:00,ヤマハ,磐田,0,2,Ｆ東京,試合終了,第2節,,,
3,2008/03/23,0,4,15:00,味スタ,東京Ｖ,0,0,清水,試合終了,第2節,,,
4,2008/03/23,0,5,13:01,室蘭,札幌,2,1,川崎Ｆ,試合終了,第2節,,,
5,2008/03/23,0,6,16:00,フクアリ,千葉,1,1,柏,試合終了,第2節,,,
6,2008/03/23,0,7,14:00,ＮＡＣＫ,大宮,0,0,横浜FM,試合終了,第2節,,,
7,2008/03/23,0,8,14:05,九石ド,大分,3,0,新潟,試合終了,第2節,,,
0,2008/04/16,0,1,19:00,駒場,浦和,1,1,京都,試合終了,第3節,,,
1,2008/04/16,0,2,19:00,瑞穂陸,名古屋,2,0,神戸,試合終了,第3節,,,
2,2008/04/16,0,3,19:00,日本平,清水,5,0,東京Ｖ,試合終了,第3節,,,
3,2008/04/16,0,4,19:34,味スタ,Ｆ東京,1,1,磐田,試合終了,第3節,,,
4,2008/04/16,0,5,19:00,フクアリ,千葉,0,0,札幌,試合終了,第3節,,,
5,2008/04/16,0,6,19:00,等々力,川崎Ｆ,3,0,柏,試合終了,第3節,,,
6,2008/04/16,0,7,19:00,ニッパ球,横浜FM,4,0,大宮,試合終了,第3節,,,
7,2008/04/16,0,8,19:00,東北電ス,新潟,1,1,大分,試合終了,第3節,,,
0,2008/05/25,0,1,14:01,西京極,京都,0,1,神戸,試合終了,第4節,,,
1,2008/05/25,0,2,19:00,豊田ス,名古屋,4,2,浦和,試合終了,第4節,,,
