,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
0,2025/02/15,1,1,14:03,ハワスタ,いわき,0,2,千葉,試合終了
1,2025/02/15,1,2,14:03,ＮＡＣＫ,大宮,2,1,山形,試合終了
2,2025/02/15,1,3,14:03,ＪＩＴス,甲府,1,0,山口,試合終了
3,2025/02/15,1,4,14:04,ヤマハ,磐田,3,2,水戸,試合終了
4,2025/02/15,1,5,14:03,藤枝サ,藤枝,0,2,徳島,試合終了
5,2025/02/15,1,6,14:03,駅スタ,鳥栖,0,1,仙台,試合終了
6,2025/02/15,1,7,19:03,ピースタ,長崎,3,2,熊本,試合終了
7,2025/02/16,1,8,12:53,ニンスタ,愛媛,0,1,富山,試合終了
8,2025/02/16,1,9,13:13,アシさと,今治,0,1,秋田,試合終了
9,2025/02/16,1,10,14:03,クラド,大分,2,0,札幌,試合終了
10,2025/02/22,2,1,14:03,ＮＡＣＫ,大宮,1,0,甲府,試合終了
11,2025/02/22,2,2,14:03,フクアリ,千葉,2,0,富山,試合終了
12,2025/02/22,2,3,14:03,ヤマハ,磐田,1,0,鳥栖,試合終了
13,2025/02/23,2,4,13:03,みらスタ,山口,2,2,長崎,試合終了
14,2025/02/23,2,5,13:03,えがおＳ,熊本,3,0,札幌,試合終了
15,2025/02/23,2,6,14:00,鳴門大塚,徳島,1,0,仙台,試合終了
16,2025/02/23,2,7,14:03,Ｋｓスタ,水戸,1,0,山形,試合終了
17,2025/02/23,2,8,14:03,アシさと,今治,0,0,藤枝,試合終了
18,2025/02/23,2,9,14:03,クラド,大分,0,0,いわき,試合終了
19,2025/02/23,2,10,15:03,ニンスタ,愛媛,1,2,秋田,試合終了
20,2025/03/01,3,1,13:03,Ｑスタ,仙台,2,0,大分,試合終了
21,2025/03/01,3,2,14:03,フクアリ,千葉,3,2,山形,試合終了
22,2025/03/01,3,3,14:03,藤枝サ,藤枝,2,1,秋田,試合終了
23,2025/03/01,3,4,14:03,駅スタ,鳥栖,1,4,今治,試合終了
24,2025/03/01,3,5,14:03,ピースタ,長崎,1,0,磐田,試合終了
25,2025/03/02,3,6,13:03,えがおＳ,熊本,0,4,大宮,試合終了
26,2025/03/02,3,7,14:03,ハワスタ,いわき,1,1,徳島,試合終了
27,2025/03/02,3,8,14:03,Ｋｓスタ,水戸,1,1,愛媛,試合終了
28,2025/03/02,3,9,14:03,富山,富山,2,0,甲府,試合終了
29,2025/03/02,3,10,14:03,みらスタ,山口,2,0,札幌,試合終了
30,2025/03/08,4,1,13:04,Ｑスタ,仙台,1,1,長崎,試合終了
31,2025/03/08,4,2,14:03,ＮＡＣＫ,大宮,2,1,山口,試合終了
32,2025/03/08,4,3,18:13,ニンスタ,愛媛,2,3,今治,試合終了
33,2025/03/09,4,4,13:08,プレド,札幌,1,3,千葉,試合終了
34,2025/03/09,4,5,14:03,ＮＤスタ,山形,4,2,秋田,試合終了
35,2025/03/09,4,6,14:03,ハワスタ,いわき,1,1,鳥栖,試合終了
36,2025/03/09,4,7,14:04,ＪＩＴス,甲府,3,3,藤枝,試合終了
37,2025/03/09,4,8,14:03,富山,富山,3,1,磐田,試合終了
38,2025/03/09,4,9,14:03,鳴門大塚,徳島,0,0,熊本,試合終了
39,2025/03/09,4,10,14:03,クラド,大分,0,0,水戸,試合終了
40,2025/03/15,5,1,13:03,ソユスタ,秋田,1,3,札幌,試合終了
41,2025/03/15,5,2,14:03,エコパ,磐田,2,1,甲府,試合終了
42,2025/03/15,5,3,14:04,藤枝サ,藤枝,2,0,いわき,試合終了
43,2025/03/15,5,4,14:03,駅スタ,鳥栖,1,0,大宮,試合終了
44,2025/03/15,5,5,16:03,ピースタ,長崎,1,0,徳島,試合終了
45,2025/03/16,5,6,13:03,えがおＳ,熊本,1,3,山形,試合終了
46,2025/03/16,5,7,14:03,Ｋｓスタ,水戸,2,2,仙台,試合終了
47,2025/03/16,5,8,14:03,フクアリ,千葉,5,1,愛媛,試合終了
48,2025/03/16,5,9,14:03,みらスタ,山口,1,1,大分,試合終了
49,2025/03/16,5,10,14:03,アシさと,今治,0,0,富山,試合終了
