,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg
0,1993/09/10,0,1,19:01,草薙陸,清水,2,1,名古屋,試合終了,第1節第1日,,,,,
0,1993/09/11,0,1,14:00,浜松,磐田,4,0,浦和,試合終了,第1節第2日,,,,,
1,1993/09/11,0,2,18:02,平塚,平塚,2,1,市原,試合終了,第1節第2日,,,,,
2,1993/09/11,0,3,18:30,柏,柏,0,1,Ｇ大阪,試合終了,第1節第2日,,,,,
3,1993/09/11,0,4,18:31,等々力,Ｖ川崎,1,1,鹿島,試合終了,第1節第2日,2,4,0,0,
4,1993/09/11,0,5,18:32,三ツ沢,横浜Ｆ,3,1,横浜M,試合終了,第1節第2日,,,,,
0,1993/09/14,0,1,19:02,広島ス,広島,3,4,柏,試合終了,第2節第1日,,,0,1,
0,1993/09/15,0,1,14:02,新潟,市原,5,0,Ｖ川崎,試合終了,第2節第2日,,,,,
1,1993/09/15,0,2,19:02,万博,Ｇ大阪,1,1,平塚,試合終了,第2節第2日,4,2,0,0,
0,1993/09/18,0,1,18:01,名古屋港,名古屋,1,3,磐田,試合終了,第3節第1日,,,,,
1,1993/09/18,0,2,18:30,三ツ沢,横浜M,1,5,清水,試合終了,第3節第1日,,,,,
2,1993/09/18,0,3,18:31,大宮,浦和,1,1,横浜Ｆ,試合終了,第3節第1日,4,5,0,0,
3,1993/09/18,0,4,18:31,国立,Ｖ川崎,5,1,Ｇ大阪,試合終了,第3節第1日,,,,,
4,1993/09/18,0,5,18:33,カシマ,鹿島,1,0,市原,試合終了,第3節第1日,,,,,
0,1993/09/21,0,1,19:00,平塚,平塚,2,1,広島,試合終了,第3節第2日,,,1,0,
0,1993/09/25,0,1,14:00,浜松,磐田,2,2,横浜Ｆ,試合終了,第4節第1日,3,4,0,0,
1,1993/09/25,0,2,14:03,札幌,清水,3,2,浦和,試合終了,第4節第1日,,,,,
2,1993/09/25,0,3,18:30,柏,柏,3,2,平塚,試合終了,第4節第1日,,,1,0,
3,1993/09/25,0,4,18:31,国立,名古屋,4,1,横浜M,試合終了,第4節第1日,,,,,
4,1993/09/25,0,5,18:32,広島ス,広島,0,0,Ｖ川崎,試合終了,第4節第1日,1,4,0,0,
5,1993/09/25,0,6,19:02,神戸ユ,Ｇ大阪,3,4,鹿島,試合終了,第4節第1日,,,,,
0,1993/10/01,0,1,19:01,市原,市原,3,4,Ｇ大阪,試合終了,第5節第1日,,,,,
0,1993/10/02,0,1,18:30,大宮,浦和,3,2,名古屋,試合終了,第5節第2日,,,,,
1,1993/10/02,0,2,18:30,三ツ沢,横浜M,2,0,磐田,試合終了,第5節第2日,,,,,
2,1993/10/02,0,3,18:32,国立,横浜Ｆ,2,1,清水,試合終了,第5節第2日,,,1,0,
3,1993/10/02,0,4,18:33,等々力,Ｖ川崎,2,0,柏,試合終了,第5節第2日,,,,,
4,1993/10/02,0,5,18:34,カシマ,鹿島,1,2,広島,試合終了,第5節第2日,,,,,
0,1993/10/09,0,1,18:02,広島ビ,広島,0,1,市原,試合終了,第6節第1日,,,,,
1,1993/10/09,0,2,18:03,平塚,平塚,2,5,Ｖ川崎,試合終了,第6節第1日,,,,,
2,1993/10/09,0,3,18:30,柏,柏,1,1,鹿島,試合終了,第6節第1日,3,2,0,0,
0,1993/10/16,0,1,18:29,日本平,清水,2,0,磐田,試合終了,第7節第1日,,,,,
1,1993/10/16,0,2,18:30,大宮,浦和,1,2,横浜M,試合終了,第7節第1日,,,,,
2,1993/10/16,0,3,18:33,カシマ,鹿島,2,1,平塚,試合終了,第7節第1日,,,,,
3,1993/10/16,0,4,18:33,西京極,Ｇ大阪,5,0,広島,試合終了,第7節第1日,,,,,
4,1993/10/16,0,5,18:34,市原,市原,0,1,柏,試合終了,第7節第1日,,,,,
5,1993/10/16,0,6,19:02,名古屋港,名古屋,1,0,横浜Ｆ,試合終了,第7節第1日,,,1,0,
0,1993/10/23,0,1,15:00,万博,Ｇ大阪,2,4,清水,試合終了,準決勝,,,,,
1,1993/10/23,0,2,19:03,国立,Ｖ川崎,2,1,横浜Ｆ,試合終了,準決勝,,,1,0,
0,1993/11/23,0,1,13:03,国立,Ｖ川崎,2,1,清水,試合終了,決勝戦,,,,,
