file,date
../docs/csv/2025_allmatch_result-PrinceKanto.csv,2026-03-11 01:19:58.742306+09:00
../docs/csv/2025_allmatch_result-PrincePremierE.csv,2026-03-11 01:19:56.195323+09:00
../docs/csv/2025_allmatch_result-PrincePremierW.csv,2026-03-11 01:19:57.551036+09:00
../docs/csv/2026EastA_allmatch_result-J2.csv,2026-05-02 01:19:46.305551+09:00
../docs/csv/2026EastB_allmatch_result-J2.csv,2026-05-02 01:19:46.338462+09:00
../docs/csv/2026WestA_allmatch_result-J2.csv,2026-05-02 01:19:46.371433+09:00
../docs/csv/2026WestB_allmatch_result-J2.csv,2026-05-02 01:19:46.404408+09:00
../docs/csv/2026East_allmatch_result-J1.csv,2026-05-01 01:29:40.515529+09:00
../docs/csv/2026West_allmatch_result-J1.csv,2026-05-01 01:29:40.557126+09:00
../docs/csv/25-26_allmatch_result-WE.csv,2026-04-27 01:13:16.472164+09:00
../docs/csv/25-26_allmatch_result-WE_Cup.csv,2026-04-02 01:20:19.801548+09:00
../docs/csv/21-22_allmatch_result-WE.csv,2026-03-03 13:22:52.355964+09:00
../docs/csv/22-23_allmatch_result-WE.csv,2026-03-03 13:23:03.445058+09:00
../docs/csv/22-23_allmatch_result-WE_Cup.csv,2026-03-03 13:23:03.451385+09:00
../docs/csv/23-24_allmatch_result-WE.csv,2026-03-03 13:23:17.188231+09:00
../docs/csv/23-24_allmatch_result-WE_Cup.csv,2026-03-03 13:23:17.193541+09:00
../docs/csv/24-25_allmatch_result-WE.csv,2026-03-03 13:23:27.273175+09:00
../docs/csv/24-25_allmatch_result-WE_Cup.csv,2026-03-03 13:23:27.281317+09:00
../docs/csv/25-26_allmatch_result-ACL_Elite.csv,2026-03-03 13:39:20.018751+09:00
../docs/csv/24-25_allmatch_result-ACL_Elite.csv,2026-03-03 16:47:59.817312+09:00
../docs/csv/23-24_allmatch_result-ACL_GS.csv,2026-03-03 16:48:18.423935+09:00
../docs/csv/22-23_allmatch_result-WE_Cup_KO.csv,2026-03-03 17:28:05.802987+09:00
../docs/csv/23-24_allmatch_result-WE_Cup_KO.csv,2026-03-03 17:28:05.802987+09:00
../docs/csv/24-25_allmatch_result-WE_Cup_KO.csv,2026-03-03 17:28:05.802987+09:00
../docs/csv/2024_allmatch_result-Olympic_GS.csv,2026-03-03 17:54:46.640740+09:00
../docs/csv/2026_allmatch_result-WC_AFC.csv,2026-03-04 07:36:46.818989+09:00
../docs/csv/2025_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:50.678656+09:00
../docs/csv/2026_allmatch_result-PrinceKanto.csv,2026-04-26 01:11:36.785949+09:00
../docs/csv/2026_allmatch_result-PrincePremierE.csv,2026-04-30 01:31:56.992670+09:00
../docs/csv/2026_allmatch_result-PrincePremierW.csv,2026-04-30 01:31:58.287508+09:00
../docs/csv/25-26_allmatch_result-WE_Cup_KO.csv,2026-04-30 01:32:50.499148+09:00
../docs/csv/2014_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:46.091051+09:00
../docs/csv/2015_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:46.500864+09:00
../docs/csv/2016_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:46.912219+09:00
../docs/csv/2017_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:47.314237+09:00
../docs/csv/2018_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:47.917534+09:00
../docs/csv/2019_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:48.304545+09:00
../docs/csv/2020_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:48.638086+09:00
../docs/csv/2021_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:49.034669+09:00
../docs/csv/2022_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:49.464359+09:00
../docs/csv/2023_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:49.857656+09:00
../docs/csv/2024_allmatch_result-EmperorsCup.csv,2026-03-21 00:57:50.254404+09:00
