,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg
0,2013/03/20,0,1,13:04,アイスタ,清水,1,1,甲府,試合終了,第1節,,,,,
1,2013/03/20,0,2,16:00,ＮＡＣＫ,大宮,0,2,磐田,試合終了,第1節,,,,,
2,2013/03/20,0,3,17:00,ニッパ球,横浜FM,1,0,川崎Ｆ,試合終了,第1節,,,,,
3,2013/03/20,0,4,13:00,東北電ス,新潟,1,1,大分,試合終了,第1節,,,,,
4,2013/03/20,0,5,14:04,駒沢,Ｆ東京,0,0,鳥栖,試合終了,第1節,,,,,
5,2013/03/20,0,6,16:02,瑞穂陸,名古屋,1,1,Ｃ大阪,試合終了,第1節,,,,,
0,2013/03/23,0,1,13:00,ヤマハ,磐田,5,1,清水,試合終了,第2節,,,,,
1,2013/03/23,0,2,13:03,中銀スタ,甲府,0,2,横浜FM,試合終了,第2節,,,,,
2,2013/03/23,0,3,16:00,ＢＭＷス,湘南,1,3,大宮,試合終了,第2節,,,,,
3,2013/03/23,0,4,13:00,大銀ド,大分,1,2,Ｃ大阪,試合終了,第2節,,,,,
4,2013/03/23,0,5,16:00,カシマ,鹿島,2,4,Ｆ東京,試合終了,第2節,,,,,
5,2013/03/23,0,6,16:00,ベアスタ,鳥栖,1,2,名古屋,試合終了,第2節,,,,,
0,2013/04/03,0,1,19:00,等々力,川崎Ｆ,2,1,磐田,試合終了,第3節,,,,,
1,2013/04/03,0,2,19:03,中銀スタ,甲府,0,1,湘南,試合終了,第3節,,,,,
2,2013/04/03,0,3,19:30,ニッパ球,横浜FM,0,1,大宮,試合終了,第3節,,,,,
3,2013/04/03,0,4,19:00,東北電ス,新潟,2,1,Ｃ大阪,試合終了,第3節,,,,,
4,2013/04/03,0,5,19:04,カシマ,鹿島,1,0,鳥栖,試合終了,第3節,,,,,
5,2013/04/03,0,6,19:04,味スタ,Ｆ東京,0,0,名古屋,試合終了,第3節,,,,,
0,2013/04/10,0,1,19:00,ＮＡＣＫ,大宮,1,3,甲府,試合終了,第4節,,,,,
1,2013/04/10,0,2,19:00,等々力,川崎Ｆ,0,0,清水,試合終了,第4節,,,,,
2,2013/04/10,0,3,19:00,ヤマハ,磐田,1,0,湘南,試合終了,第4節,,,,,
3,2013/04/10,0,4,19:00,東北電ス,新潟,1,2,鹿島,試合終了,第4節,,,,,
4,2013/04/10,0,5,19:03,瑞穂陸,名古屋,1,1,大分,試合終了,第4節,,,,,
5,2013/04/10,0,6,19:05,長居,Ｃ大阪,2,1,Ｆ東京,試合終了,第4節,,,,,
0,2013/04/23,0,1,19:00,ＮＡＣＫ,大宮,2,3,清水,試合終了,第5節第1日,,,,,
0,2013/04/24,0,1,19:00,ＢＭＷス,湘南,0,1,横浜FM,試合終了,第5節第2日,,,,,
1,2013/04/24,0,2,19:03,中銀スタ,甲府,1,3,川崎Ｆ,試合終了,第5節第2日,,,,,
0,2013/04/24,0,1,19:00,ベアスタ,鳥栖,2,0,新潟,試合終了,第5節,,,,,
1,2013/04/24,0,2,19:00,大銀ド,大分,0,0,Ｆ東京,試合終了,第5節,,,,,
2,2013/04/24,0,3,19:04,カシマ,鹿島,1,0,名古屋,試合終了,第5節,,,,,
0,2013/05/15,0,1,19:00,等々力,川崎Ｆ,2,0,大宮,試合終了,第6節,,,,,
1,2013/05/15,0,2,19:04,アイスタ,清水,0,1,湘南,試合終了,第6節,,,,,
2,2013/05/15,0,3,19:30,ニッパ球,横浜FM,3,0,磐田,試合終了,第6節,,,,,
3,2013/05/15,0,4,19:00,大銀ド,大分,0,1,鹿島,試合終了,第6節,,,,,
4,2013/05/15,0,5,19:04,国立,Ｆ東京,2,1,新潟,試合終了,第6節,,,,,
5,2013/05/15,0,6,19:05,金鳥スタ,Ｃ大阪,2,1,鳥栖,試合終了,第6節,,,,,
0,2013/05/22,0,1,19:00,ＢＭＷス,湘南,1,1,川崎Ｆ,試合終了,第7節,,,,,
1,2013/05/22,0,2,19:00,アイスタ,清水,1,2,横浜FM,試合終了,第7節,,,,,
2,2013/05/22,0,3,19:00,ヤマハ,磐田,1,1,甲府,試合終了,第7節,,,,,
3,2013/05/22,0,4,19:00,ベアスタ,鳥栖,2,3,大分,試合終了,第7節,,,,,
4,2013/05/22,0,5,19:03,瑞穂陸,名古屋,2,1,新潟,試合終了,第7節,,,,,
5,2013/05/22,0,6,19:04,金鳥スタ,Ｃ大阪,2,1,鹿島,試合終了,第7節,,,,,
0,2013/06/23,0,1,18:00,等々力,川崎Ｆ,2,1,仙台,試合終了,準々決勝　第1戦,,,,,1
1,2013/06/23,0,2,18:04,カシマ,鹿島,0,2,横浜FM,試合終了,準々決勝　第1戦,,,,,1
2,2013/06/23,0,3,19:03,Ｅスタ,広島,1,2,柏,試合終了,準々決勝　第1戦,,,,,1
3,2013/06/23,0,4,19:04,長居,Ｃ大阪,0,2,浦和,試合終了,準々決勝　第1戦,,,,,1
0,2013/06/30,0,1,18:00,埼玉,浦和,1,1,Ｃ大阪,試合終了,準々決勝　第2戦,,,,,2
1,2013/06/30,0,2,18:04,ユアスタ,仙台,2,3,川崎Ｆ,試合終了,準々決勝　第2戦,,,,,2
2,2013/06/30,0,3,19:00,柏,柏,0,1,広島,試合終了,準々決勝　第2戦,,,,,2
3,2013/06/30,0,4,19:00,日産ス,横浜FM,3,1,鹿島,試合終了,準々決勝　第2戦,,,,,2
0,2013/09/07,0,1,18:00,等々力,川崎Ｆ,3,2,浦和,試合終了,準決勝　第1戦,,,,,1
1,2013/09/07,0,2,19:04,柏,柏,4,0,横浜FM,試合終了,準決勝　第1戦,,,,,1
0,2013/10/12,0,1,13:00,ニッパ球,横浜FM,2,0,柏,試合終了,準決勝　第2戦,,,,,2
1,2013/10/12,0,2,17:00,埼玉,浦和,1,0,川崎Ｆ,試合終了,準決勝　第2戦,,,,,2
0,2013/11/02,0,1,13:10,国立,浦和,0,1,柏,試合終了,決勝,,,,,
