,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section,group
0,2021/09/02,1,20:30,テヘラン(イラン)／Azadi Stadium,イラン,シリア,試合終了,1,1,0,False,1,A
1,2021/09/02,1,20:45,ドバイ(UAE)／Zabeel Stadium,UAE,レバノン,試合終了,2,0,0,False,2,A
2,2021/09/02,1,20:00,ソウル(韓国)／Seoul World Cup Stadium,韓国,イラク,試合終了,3,0,0,False,3,A
3,2021/09/07,2,20:00,ソウル(韓国)／Seoul World Cup Stadium,韓国,レバノン,試合終了,4,1,0,False,1,A
4,2021/09/07,2,19:00,アンマン(ヨルダン)／King Abdullah II Stadium,シリア,UAE,試合終了,5,1,1,False,2,A
5,2021/09/07,2,21:00,ドーハ(カタール)／Khalifa International Stadium,イラク,イラン,試合終了,6,0,3,False,3,A
6,2021/10/07,3,17:30,ドーハ(カタール)／Khalifa International Stadium,イラク,レバノン,試合終了,7,0,0,False,1,A
7,2021/10/07,3,20:45,ドバイ(UAE)／Al Wasl Stadium,UAE,イラン,試合終了,8,0,1,False,2,A
8,2021/10/07,3,20:00,アンサン(韓国)／Ansan Wa Stadium,韓国,シリア,試合終了,9,2,1,False,3,A
9,2021/10/12,4,19:00,アンマン(ヨルダン)／King Abdullah II Stadium,シリア,レバノン,試合終了,10,2,3,False,1,A
10,2021/10/12,4,20:45,ドバイ(UAE)／Al Wasl Stadium,UAE,イラク,試合終了,11,2,2,False,2,A
11,2021/10/12,4,17:00,テヘラン(イラン)／Azadi Stadium,イラン,韓国,試合終了,12,1,1,False,3,A
12,2021/11/11,5,14:00,サイダ(レバノン)／Saida International Stadium,レバノン,イラン,試合終了,13,1,2,False,1,A
13,2021/11/11,5,20:00,ドーハ(カタール)／Thani Bin Jassim Stadium,イラク,シリア,試合終了,14,1,1,False,2,A
14,2021/11/11,5,20:00,コヤン(韓国)／Goyang Stadium,韓国,UAE,試合終了,15,1,0,False,3,A
15,2021/11/16,6,14:00,サイダ(レバノン)／Saida International Stadium,レバノン,UAE,試合終了,16,0,1,False,1,A
16,2021/11/16,6,18:00,アンマン(ヨルダン)／King Abdullah II Stadium,シリア,イラン,試合終了,17,0,3,False,2,A
17,2021/11/16,6,18:00,ドーハ(カタール)／Thani Bin Jassim Stadium,イラク,韓国,試合終了,18,0,3,False,3,A
18,2022/01/27,7,19:00,ドバイ(UAE)／Al Maktoum Stadium,UAE,シリア,試合終了,19,2,0,False,1,A
19,2022/01/27,7,14:00,サイダ(レバノン)／Saida Municipal Stadium,レバノン,韓国,試合終了,20,0,1,False,2,A
20,2022/01/27,7,18:00,テヘラン(イラン)／Azadi Stadium,イラン,イラク,試合終了,21,1,0,False,3,A
21,2022/02/01,8,14:00,サイダ(レバノン)／Saida Municipal Stadium,レバノン,イラク,,22,,,False,1,A
22,2022/02/01,8,18:00,ドバイ(UAE)／Rashid Stadium,シリア,韓国,,23,,,False,2,A
23,2022/02/01,8,18:00,テヘラン(イラン)／Azadi Stadium,イラン,UAE,,24,,,False,3,A
24,2022/03/24,9,未定,未定,レバノン,シリア,,25,,,False,1,A
25,2022/03/24,9,未定,未定,イラク,UAE,,26,,,False,2,A
26,2022/03/24,9,未定,未定,韓国,イラン,,27,,,False,3,A
27,2022/03/29,10,未定,未定,シリア,イラク,,28,,,False,1,A
28,2022/03/29,10,未定,未定,UAE,韓国,,29,,,False,2,A
29,2022/03/29,10,未定,未定,イラン,レバノン,,30,,,False,3,A
30,2021/09/02,1,21:00,リヤド(サウジアラビア)／King Saud University Stadium,サウジアラビア,ベトナム,試合終了,1,3,1,False,1,B
31,2021/09/02,1,21:00,ドーハ(カタール)／Khalifa International Stadium,オーストラリア,中国,試合終了,2,3,0,False,2,B
32,2021/09/02,1,19:10,大阪／市立吹田サッカースタジアム,日本,オマーン,試合終了,3,0,1,False,3,B
33,2021/09/07,2,19:00,ハノイ(ベトナム)／My Dinh National Stadium,ベトナム,オーストラリア,試合終了,4,0,1,False,1,B
34,2021/09/07,2,20:00,マスカット(オマーン)／Sultan Qaboos Stadium,オマーン,サウジアラビア,試合終了,5,0,1,False,2,B
35,2021/09/07,2,18:00,ドーハ(カタール)／Khalifa International Stadium,中国,日本,試合終了,6,0,1,False,3,B
36,2021/10/07,3,21:00,シャルジャ(UAE)／Sharjah Stadium,中国,ベトナム,試合終了,7,3,2,False,1,B
37,2021/10/07,3,20:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,日本,試合終了,8,1,0,False,2,B
38,2021/10/07,3,21:30,ドーハ(カタール)／Khalifa International Stadium,オーストラリア,オマーン,試合終了,9,3,1,False,3,B
39,2021/10/12,4,20:00,マスカット(オマーン)／Sultan Qaboos Stadium,オマーン,ベトナム,試合終了,10,3,1,False,1,B
40,2021/10/12,4,20:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,中国,試合終了,11,3,2,False,2,B
41,2021/10/12,4,19:10,埼玉／埼玉スタジアム2002,日本,オーストラリア,試合終了,12,2,1,False,3,B
42,2021/11/11,5,19:00,ハノイ(ベトナム)／My Dinh National Stadium,ベトナム,日本,試合終了,13,0,1,False,1,B
43,2021/11/11,5,19:00,シャルジャ(UAE)／Sharjah Stadium,中国,オマーン,試合終了,14,1,1,False,2,B
44,2021/11/11,5,19:10,シドニー(オーストラリア)／Western Sydney Stadium,オーストラリア,サウジアラビア,試合終了,15,0,0,False,3,B
45,2021/11/16,6,19:00,ハノイ(ベトナム)／My Dinh National Stadium,ベトナム,サウジアラビア,試合終了,16,0,1,False,1,B
46,2021/11/16,6,20:00,マスカット(オマーン)／Sultan Qaboos Stadium,オマーン,日本,試合終了,17,0,1,False,2,B
47,2021/11/16,6,19:00,シャルジャ(UAE)／Sharjah Stadium,中国,オーストラリア,試合終了,18,1,1,False,3,B
48,2022/01/27,7,20:15,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,オマーン,試合終了,19,1,0,False,1,B
49,2022/01/27,7,20:10,メルボルン(オーストラリア)／AAMI Park,オーストラリア,ベトナム,試合終了,20,4,0,False,2,B
50,2022/01/27,7,19:00,埼玉／埼玉スタジアム2002,日本,中国,試合終了,21,2,0,False,3,B
51,2022/02/01,8,19:00,ハノイ(ベトナム)／My Dinh National Stadium,ベトナム,中国,,22,,,False,1,B
52,2022/02/01,8,20:00,マスカット(オマーン)／Sultan Qaboos Stadium,オマーン,オーストラリア,,23,,,False,2,B
53,2022/02/01,8,19:10,埼玉／埼玉スタジアム2002,日本,サウジアラビア,,24,,,False,3,B
54,2022/03/24,9,未定,未定,ベトナム,オマーン,,25,,,False,1,B
55,2022/03/24,9,未定,未定,中国,サウジアラビア,,26,,,False,2,B
56,2022/03/24,9,未定,未定（アウェイ）,オーストラリア,日本,,27,,,False,3,B
57,2022/03/29,10,未定,未定,オマーン,中国,,28,,,False,1,B
58,2022/03/29,10,未定,未定,サウジアラビア,オーストラリア,,29,,,False,2,B
59,2022/03/29,10,未定,埼玉／埼玉スタジアム2002,日本,ベトナム,,30,,,False,3,B
