,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg
0,2016/03/23,0,1,19:00,ＮＡＣＫ,大宮,1,0,名古屋,試合終了,第1節第1日,,,,,
1,2016/03/23,0,2,19:03,カシマ,鹿島,1,2,甲府,試合終了,第1節第1日,,,,,
2,2016/03/23,0,3,19:04,ヤマハ,磐田,1,2,神戸,試合終了,第1節第1日,,,,,
3,2016/03/23,0,4,19:03,ユアスタ,仙台,1,0,新潟,試合終了,第1節第1日,,,,,
4,2016/03/23,0,5,19:04,レベスタ,福岡,2,2,柏,試合終了,第1節第1日,,,,,
5,2016/03/23,0,6,19:05,等々力,川崎Ｆ,0,0,横浜FM,試合終了,第1節第1日,,,,,
0,2016/03/27,0,1,14:00,ノエスタ,神戸,4,1,鹿島,試合終了,第2節第1日,,,,,
1,2016/03/27,0,2,14:04,パロ瑞穂,名古屋,0,1,湘南,試合終了,第2節第1日,,,,,
2,2016/03/27,0,3,14:04,中銀スタ,甲府,0,0,大宮,試合終了,第2節第1日,,,,,
3,2016/03/27,0,4,15:03,デンカＳ,新潟,1,0,鳥栖,試合終了,第2節第1日,,,,,
4,2016/03/27,0,5,15:03,柏,柏,0,1,仙台,試合終了,第2節第1日,,,,,
5,2016/03/27,0,6,15:03,等々力,川崎Ｆ,0,1,福岡,試合終了,第2節第1日,,,,,
0,2016/04/06,0,1,19:04,パロ瑞穂,名古屋,1,3,鹿島,試合終了,第3節第1日,,,,,
1,2016/04/06,0,2,19:04,ヤマハ,磐田,1,0,甲府,試合終了,第3節第1日,,,,,
2,2016/04/06,0,3,19:04,ＢＭＷス,湘南,0,1,大宮,試合終了,第3節第1日,,,,,
3,2016/04/06,0,4,19:03,デンカＳ,新潟,0,5,川崎Ｆ,試合終了,第3節第1日,,,,,
4,2016/04/06,0,5,19:04,ベアスタ,鳥栖,1,1,仙台,試合終了,第3節第1日,,,,,
5,2016/04/06,0,6,19:34,ニッパツ,横浜FM,1,3,柏,試合終了,第3節第1日,,,,,
0,2016/04/20,0,1,19:04,パロ瑞穂,名古屋,0,0,甲府,試合終了,第4節第1日,,,,,
1,2016/04/20,0,2,19:04,ＢＭＷス,湘南,0,0,磐田,試合終了,第4節第1日,,,,,
2,2016/04/20,0,3,19:05,ノエスタ,神戸,1,1,大宮,試合終了,第4節第1日,,,,,
3,2016/04/20,0,4,19:04,柏,柏,2,1,川崎Ｆ,試合終了,第4節第1日,,,,,
4,2016/04/20,0,5,19:04,ユアスタ,仙台,0,0,福岡,試合終了,第4節第1日,,,,,
5,2016/04/20,0,6,19:34,ニッパツ,横浜FM,1,0,鳥栖,試合終了,第4節第1日,,,,,
0,2016/05/18,0,1,19:00,ＮＡＣＫ,大宮,1,0,磐田,試合終了,第5節第1日,,,,,
1,2016/05/18,0,2,19:03,カシマ,鹿島,2,3,湘南,試合終了,第5節第1日,,,,,
2,2016/05/18,0,3,19:04,中銀スタ,甲府,0,2,神戸,試合終了,第5節第1日,,,,,
3,2016/05/18,0,4,19:03,柏,柏,1,2,新潟,試合終了,第5節第1日,,,,,
4,2016/05/18,0,5,19:04,ベアスタ,鳥栖,1,1,川崎Ｆ,試合終了,第5節第1日,,,,,
5,2016/05/18,0,6,19:34,ニッパツ,横浜FM,2,1,福岡,試合終了,第5節第1日,,,,,
0,2016/05/25,0,1,19:04,カシマ,鹿島,1,1,磐田,試合終了,第6節第1日,,,,,
1,2016/05/25,0,2,19:04,中銀スタ,甲府,1,0,湘南,試合終了,第6節第1日,,,,,
2,2016/05/25,0,3,19:05,ノエスタ,神戸,4,0,名古屋,試合終了,第6節第1日,,,,,
3,2016/05/25,0,4,19:00,レベスタ,福岡,1,1,鳥栖,試合終了,第6節第1日,,,,,
4,2016/05/25,0,5,19:03,デンカＳ,新潟,1,1,横浜FM,試合終了,第6節第1日,,,,,
5,2016/05/25,0,6,19:04,等々力,川崎Ｆ,2,1,仙台,試合終了,第6節第1日,,,,,
0,2016/06/05,0,1,14:04,ヤマハ,磐田,1,3,名古屋,試合終了,第7節第1日,,,,,
1,2016/06/05,0,2,14:04,とうスタ,湘南,0,2,神戸,試合終了,第7節第1日,,,,,
2,2016/06/05,0,3,14:04,ＮＡＣＫ,大宮,1,0,鹿島,試合終了,第7節第1日,,,,,
3,2016/06/05,0,4,14:00,レベスタ,福岡,4,2,新潟,試合終了,第7節第1日,,,,,
4,2016/06/05,0,5,14:03,ユアスタ,仙台,0,2,横浜FM,試合終了,第7節第1日,,,,,
5,2016/06/05,0,6,14:04,ベアスタ,鳥栖,1,1,柏,試合終了,第7節第1日,,,,,
0,2016/08/31,0,1,19:03,ＮＡＣＫ,大宮,2,1,横浜FM,試合終了,準々決勝　第1戦,,,,,1
1,2016/08/31,0,2,19:04,Ｅスタ,広島,1,1,Ｇ大阪,試合終了,準々決勝　第1戦,,,,,1
2,2016/08/31,0,3,19:05,ノエスタ,神戸,1,2,浦和,試合終了,準々決勝　第1戦,,,,,1
3,2016/08/31,0,4,19:30,味スタ,FC東京,1,1,福岡,試合終了,準々決勝　第1戦,,,,,1
0,2016/09/04,0,1,18:04,ニッパツ,横浜FM,1,0,大宮,試合終了,準々決勝　第2戦,,,,,2
1,2016/09/04,0,2,18:34,埼玉,浦和,4,0,神戸,試合終了,準々決勝　第2戦,,,,,2
2,2016/09/04,0,3,19:02,吹田Ｓ,Ｇ大阪,6,3,広島,試合終了,準々決勝　第2戦,,,,,2
3,2016/09/04,0,4,19:04,レベスタ,福岡,0,2,FC東京,試合終了,準々決勝　第2戦,,,,,2
0,2016/10/05,0,1,19:04,吹田Ｓ,Ｇ大阪,0,0,横浜FM,試合終了,準決勝　第1戦,,,,,1
1,2016/10/05,0,2,19:34,味スタ,FC東京,1,2,浦和,試合終了,準決勝　第1戦,,,,,1
0,2016/10/09,0,1,14:00,日産ス,横浜FM,1,1,Ｇ大阪,試合終了,準決勝　第2戦,,,,,2
1,2016/10/09,0,2,14:04,埼玉,浦和,3,1,FC東京,試合終了,準決勝　第2戦,,,,,2
0,2016/10/15,0,1,13:09,埼玉,Ｇ大阪,1,1,浦和,試合終了,決勝,4,5,0,0,
