,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,1995,ゼロックススーパーカップ,第１節第１日,03/11(土),14:03,平塚,2-2(PK2-4),Ｖ川崎,国立,53167,
1,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:02,Ｇ大阪,3-1,名古屋,万博,14007,
2,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:03,市原,1-0,磐田,市原,13637,
3,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:03,横浜Ｆ,1-0,浦和,三ツ沢,12236,
4,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:03,清水,3-2,柏,草薙陸,18017,
5,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:04,鹿島,3-4,横浜M,カシマ,15584,
6,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:04,広島,0-1,Ｃ大阪,広島ビ,14175,
7,1995,Ｊ１ サントリー,第１節第１日,03/18(土),19:05,Ｖ川崎,0-0(PK7-6),平塚,国立,48103,
8,1995,Ｊ１ サントリー,第２節第１日,03/22(水),18:59,磐田,2-1,Ｇ大阪,磐田,16078,
9,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:01,広島,5-0,清水,広島ス,7421,
10,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:03,浦和,1-0,市原,大宮,9704,
11,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:03,横浜M,6-2,Ｖ川崎,三ツ沢,13033,
12,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:04,柏,0-1,鹿島,国立,42994,
13,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:04,平塚,0-3,横浜Ｆ,平塚,13305,
14,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:04,Ｃ大阪,2-2(PK4-3),名古屋,長居２,9239,
15,1995,Ｊ１ サントリー,第３節第１日,03/25(土),14:59,Ｇ大阪,2-0,浦和,万博,13356,
16,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:00,鹿島,2-0,広島,カシマ,15144,
17,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:01,市原,2-3,平塚,市原,11895,
18,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:03,横浜Ｆ,0-1,横浜M,国立,36039,
19,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:03,名古屋,2-6,磐田,瑞穂陸,20660,
20,1995,Ｊ１ サントリー,第３節第１日,03/25(土),16:02,清水,0-1,Ｃ大阪,草薙陸,16308,
21,1995,Ｊ１ サントリー,第３節第１日,03/25(土),19:04,Ｖ川崎,0-1,柏,富山,22349,
22,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:00,平塚,3-5,Ｇ大阪,平塚,11540,
